temperatura_media,humedad_relativa,casos_previos,mosquitos_a_liberar
26.9963209507789,80.94485142059236,56,33206.70323718639
31.60571445127933,76.08289099032362,21,28544.827988889298
29.85595153449124,69.28582848858983,71,39720.94018949111
28.789267873576293,84.41385059120846,89,38560.101216699375
25.24814912353949,80.54193517661638,97,36511.10469107196
25.247956162689626,64.87850818034674,92,36786.940162441744
24.4646688973456,87.32781553481527,17,20641.613142312497
30.92940916619948,84.67611728769506,30,30102.300830317905
28.80892009394567,88.49399739875773,90,38559.30421003462
29.66458062236836,81.7715852516508,96,41820.96887170598
24.16467595436642,78.4024558780737,89,32847.20990063597
31.759278817295957,72.54729108871857,79,38755.76988591189
30.659541126403376,87.9818545006204,81,39307.68256213879
25.69871288542621,85.98191668501225,34,23773.709719021965
25.454599737656807,61.356560103185686,91,38268.24614473575
25.46723607882747,60.79100923491756,98,38270.84720537963
26.433937943676305,71.29390100634149,21,25161.536312746928
28.198051453057904,84.31659992345499,24,23025.972788823365
27.455560149136925,89.61828387944834,68,30708.1466747094
26.329833121584336,64.51250673310585,35,28322.894031986096
28.89482315777904,77.82392146056405,35,25502.58921873973
25.115950885216336,71.42672569893065,56,29551.847183418187
26.337157188281743,89.09743193443809,41,25520.08799924136
26.930894746349534,85.26356769407126,19,21468.58605774238
27.64855987373629,85.14986114133413,25,23933.633911012508
30.28140769114411,74.06079479384911,80,38027.80471866939
25.59739025726688,72.44458507012996,26,25095.187696302382
28.113875507308894,68.20221215792118,32,29498.151379878396
28.73931655089634,61.691264899527816,35,28884.452474155216
24.371603301759983,85.9416712876516,94,34852.96105046335
28.860358815211505,84.38703027390233,95,38096.579316885225
25.36419298949833,89.99153019858392,16,20638.092128643068
24.52041274388224,89.89910511221716,23,21177.511407303835
31.591084298026665,76.66295116807882,88,41229.52694851109
31.725056264596475,83.06962245541531,16,26634.97907747484
30.46717878493169,88.34297189647285,18,25139.11614576173
26.436910153386965,85.48942172032234,57,27669.510147674457
24.781376912051076,67.42044305229592,81,35785.33675442161
29.47386421209725,73.5163240593028,68,34955.27856728454
27.52121994991681,63.87478245454485,96,39573.59243220441
24.976305878758232,88.62153081776167,91,34163.73294252023
27.96141528089016,78.1852390335264,48,30738.439962899796
24.275108168921747,66.85928416510389,27,22397.876537319327
31.274563216630256,80.1510205321757,68,34907.27594200924
26.070239852800132,78.54384721373688,26,22528.857070696915
29.300178274831858,70.74488154098522,23,27249.830539812327
26.49368860871529,63.40672776598887,40,30342.76611992559
28.160544169422487,80.14719586778399,33,25485.90461627093
28.37368223474624,75.6092310271138,69,33316.25736455403
25.478835644204217,83.16955175206918,54,26449.28496815848
31.75667702211647,75.6049050333598,12,24959.46152748115
30.20106258688892,85.5654450095562,46,32050.20954601473
31.515991532513517,76.55720516323457,52,35754.95959155444
31.15861880342119,76.82813914606159,49,33453.56078239544
28.78319983048868,86.29960807975036,99,39485.52625037279
31.37499388018493,72.10448598637191,64,38755.68906841037
24.70794001641536,64.02045685351922,96,37679.80237271994
25.56786289935316,60.86348028940017,48,30170.951579773577
24.361818311284303,82.65411767020856,24,20379.957602541628
26.60264264610612,78.60928654060393,13,21385.95784626949
27.109418317515857,81.12239304297671,95,36759.837367771135
26.170792254191166,66.38892484526733,34,26961.14874155802
30.629900073215435,64.0911442676031,22,28811.723397228445
26.854026613548715,60.43633997003646,91,38115.82938413128
26.247476077499044,70.51762676419791,42,26714.60625155279
28.34156866526599,77.69753060563899,25,27187.77410804084
25.1273937997981,71.76732135299197,51,30122.33041496072
30.41757584603232,73.12424766071187,75,37892.01574329381
24.59640514943817,87.12476083481245,64,28751.68263871909
31.89509549280414,70.44766401069901,51,35450.443566382455
30.177958154373258,75.41968467479433,43,31384.02144505351
25.589725452273377,83.5095903822343,39,23364.46869351132
24.04417693698882,71.8962834696381,22,21682.419267215395
30.523691427638678,78.66260100683621,22,24969.542292354447
29.65485875078094,85.87091126240236,27,25735.083433283085
29.8320573443279,88.48561870972927,41,29688.922619979792
30.170162773487565,64.41220442787113,48,33928.93653862529
24.592357213872724,87.79762875484484,55,26002.52125417875
26.86772582835418,74.76348879238614,38,26532.94000892865
24.92695247620104,67.74733164896875,71,31758.38280230571
30.90482740700475,73.77407268714784,71,37624.57597515389
28.986385014620463,89.40097725856431,66,33219.49294212837
26.647184198821197,74.77854281978608,25,24837.798046371696
24.50846680228819,69.86254830862525,65,30005.31510853588
26.487858573725298,79.00202562950177,19,22761.05220268868
26.601466576213976,67.2043685633458,39,28188.04548436659
29.83684942670451,62.27589984325992,34,30607.548819750384
29.100459770841702,63.86639165731948,93,41054.21478266028
31.09770194061061,63.84137516873317,14,27694.20988801273
27.777719401295595,64.55708080536883,74,36873.75159415229
24.956753967506412,64.1648151794823,58,30979.457317274497
29.70595829778396,79.22624234409643,12,25998.706748201224
30.08628038893518,65.45640253197435,54,33350.61389943148
28.49021758055597,70.3700184997159,23,25613.20833958898
30.16773743963649,86.90365229718036,39,27663.90354965005
27.95036477091513,74.21884920788617,77,36859.48931445437
28.181862635055957,80.02673215563081,27,25244.681913136123
27.4203281468684,65.1695961360489,71,35309.55951529284
24.20335301395276,65.76867056426012,46,26222.147388080102
24.863131415946437,61.226058487994365,34,25213.82157216917
24.251433485493877,65.06805189216493,57,30367.818401704037
29.091283290110244,68.35771017095875,74,37749.745683500354
26.51484784861061,65.3103145283024,62,32272.29433812143
28.068565529317624,62.66107601271167,88,40170.27184752285
31.260531791408745,63.61907613301803,82,42088.52425814482
25.994337833191,73.82336304098177,24,23020.576012406083
27.28306338428504,66.19001155217377,58,30794.98266843145
30.04440910834439,70.92809583144226,97,41452.43789819813
25.83038532393298,75.1025181256457,77,32379.60490798589
24.615839278630343,80.71184485888097,21,21909.089438735155
26.318011623310145,61.17936419523297,68,35138.190420234525
25.289770298032035,83.98231196727127,46,27677.91298146392
31.437581218740583,78.83701168472723,70,35534.324501290685
30.464963036515336,62.45277095846616,52,35691.08685104244
29.06723005208339,86.20735872320331,79,38458.68548914774
30.97168472150174,87.6261720159544,48,32921.05523371694
30.429376615192915,61.83233879564591,65,35094.91311775766
25.49256047108829,68.30632944441611,72,34830.22583504345
31.140471987919824,84.18603839379185,55,33763.55718567258
28.314737935325205,82.44779071150975,97,39237.55975767376
30.4595212413125,65.53563058069132,20,28357.053479826343
31.168730399387947,66.28047970010131,71,37691.67550680733
26.54402779977491,71.11416308374146,86,36635.39386232234
24.880415396221416,74.53568955573064,34,25847.276085752423
25.823481300335533,78.54764314590888,80,34591.11385626794
27.41686230901005,71.06740918709318,61,32568.522862403395
30.544118127379942,73.87604148399444,13,25846.122138908107
30.885844666050748,82.4241281440127,68,35062.03786835067
24.055617044249527,61.10049608671794,81,33995.57954417801
28.085978420620528,67.57310833032062,29,25494.37225195869
27.339288025190232,81.40048757653658,72,34621.68021993038
25.776862483765843,86.85620513061598,63,27505.5314882289
24.958922938669463,75.35032326346999,83,34878.79099194318
26.700921371229025,75.96340455795946,66,33283.99181626714
31.543277631300157,63.21516034019328,99,46340.52621300802
26.58562345616604,73.42237100470363,50,29330.24551885748
28.15032497394693,75.9785179936507,12,23869.101640739387
29.62415167116142,67.27411510904189,15,25736.99351989201
26.909036819034352,68.07729692848143,14,21714.61000849827
31.774256661767687,71.31852489313869,14,28973.13656499181
31.69957835953689,60.6021359333318,63,38142.47893658863
26.014258366602917,69.66237496749535,56,28838.50955238018
27.977988047139085,66.34344020989634,96,40076.82908035967
26.40702647853416,69.82492056533744,58,30597.20973943224
26.278723955019743,63.59286395457754,18,23981.1344776862
24.29509557883626,86.71581842219685,29,23770.561219989304
28.87651467183917,77.80777360662145,70,35618.15592445959
28.021432185830893,80.37306957433469,44,28990.969080393952
24.411830009999917,83.67513715822015,59,30300.092493740456
26.22917171389289,74.95326596787172,91,37912.738657018446
31.26612708773323,62.60760864262271,71,39459.61542760588
25.91649512533578,76.11319625455644,26,23025.76364106204
25.159158976729785,77.60523354062637,97,37114.835698871706
27.915622082220505,82.36318422552989,12,22012.913255574374
31.885203632884807,72.94978638689038,41,32881.65912175476
25.936442172092004,63.82740908386691,22,25268.103688474785
29.37708437924703,68.51327717396174,98,41585.43447871336
30.09295692262974,70.89246889195906,82,39917.25074159735
25.9011003519392,79.37751723994803,77,34312.28861778198
29.82573078889488,77.12334914006736,23,26051.28335806373
26.942265061754025,70.68290177693538,20,23051.353468571386
29.058446644748635,89.59545746378939,65,32948.558975788794
29.06823768608716,78.17324458070661,76,35989.28363776004
28.28619747259807,67.11680375207983,38,30326.84970613159
24.722318160435265,63.05347417861211,18,21015.2024640094
30.682419964713905,64.58577417552996,76,39492.31391568958
26.566240519773885,67.37873185153525,34,29174.415668024834
25.492148083198835,64.82044119778666,85,36423.16049720635
24.32620113243811,65.59701072153918,51,28545.790204589084
28.727143545505932,68.55285506081542,18,26632.54053512152
